Contraction.avg_deg,Contraction.error_status,Contraction.in_n,Contraction.largest_clique,Contraction.max_deg,Contraction.out_n,Contraction.time,GraphInput.error_status,GraphInput.girg_options,GraphInput.graph,GraphInput.m,GraphInput.n,GraphInput.n_gen,GraphInput.option,GraphInput.time,GraphStats.avg_deg,GraphStats.deg_cov,GraphStats.error_status,GraphStats.largest_clique,GraphStats.num_cliques,GraphStats.sum_clique_sizes,GraphStats.time,PartLargestBag.error_status,PartLargestBag.max_partition_num,PartLargestBag.max_weight,PartLargestBag.mean_partition_num,PartLargestBag.median_partition_num,PartLargestBag.num_branching_max,PartLargestBag.num_branching_mean,PartLargestBag.num_branching_median,PartLargestBag.num_branching_sum,PartLargestBag.num_clq_red,PartLargestBag.num_lb2_reductions_max,PartLargestBag.num_lb2_reductions_mean,PartLargestBag.num_lb2_reductions_median,PartLargestBag.num_lb2_reductions_sum,PartLargestBag.num_lb_reductions_max,PartLargestBag.num_lb_reductions_mean,PartLargestBag.num_lb_reductions_median,PartLargestBag.num_lb_reductions_sum,PartLargestBag.num_leaves_max,PartLargestBag.num_leaves_mean,PartLargestBag.num_leaves_median,PartLargestBag.num_leaves_sum,PartLargestBag.num_sw_reductions_max,PartLargestBag.num_sw_reductions_mean,PartLargestBag.num_sw_reductions_median,PartLargestBag.num_sw_reductions_sum,PartLargestBag.partition_option,PartLargestBag.status,PartLargestBag.time,Partition.AssignVertices.error_status,Partition.AssignVertices.option,Partition.AssignVertices.time,Partition.MaximalIS.error_status,Partition.MaximalIS.option,Partition.MaximalIS.size,Partition.MaximalIS.time,Partition.amount,Partition.average,Partition.error_status,Partition.hs_size,Partition.largest,Partition.lower_bound,Partition.median,Partition.num_branching,Partition.num_dead_end,Partition.num_lb2_reductions,Partition.num_lb_reductions,Partition.num_leaves,Partition.num_long_paths,Partition.num_sw_reductions,Partition.option,Partition.product_weight,Partition.smallest,Partition.status,Partition.time,PartitionBags.error_status,PartitionBags.max_partition_num,PartitionBags.max_weight,PartitionBags.mean_partition_num,PartitionBags.median_partition_num,PartitionBags.num_branching_max,PartitionBags.num_branching_mean,PartitionBags.num_branching_median,PartitionBags.num_branching_sum,PartitionBags.num_clq_red,PartitionBags.num_lb2_reductions_max,PartitionBags.num_lb2_reductions_mean,PartitionBags.num_lb2_reductions_median,PartitionBags.num_lb2_reductions_sum,PartitionBags.num_lb_reductions_max,PartitionBags.num_lb_reductions_mean,PartitionBags.num_lb_reductions_median,PartitionBags.num_lb_reductions_sum,PartitionBags.num_leaves_max,PartitionBags.num_leaves_mean,PartitionBags.num_leaves_median,PartitionBags.num_leaves_sum,PartitionBags.num_sw_reductions_max,PartitionBags.num_sw_reductions_mean,PartitionBags.num_sw_reductions_median,PartitionBags.num_sw_reductions_sum,PartitionBags.partition_option,PartitionBags.status,PartitionBags.time,Treewidth.error_status,Treewidth.num_bags,Treewidth.option,Treewidth.status,Treewidth.time,Treewidth.treewidth,WeightedTreewidth.elimination_width,WeightedTreewidth.error_status,WeightedTreewidth.option,WeightedTreewidth.time,WeightedTreewidth.time_elimination_game,WeightedTreewidth.treewidth,error_status,option,time
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1268 type=girg,,2491,497,500,GirgGen,0.071102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,5.672425341971495,1.105793450881612,1.0,1,0.04878048780487805,0.0,2,356,0,0.0,0.0,0,0,0.0,0.0,0,4,1.0975609756097562,1.0,45,1,0.024390243902439025,0.0,1,Partition(BranchingPartition),success,0.020811,none,397,HTD,,0.03895,17,,,,,,,none,PartitionTreedec,0.132694
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1268 type=girg,,2491,497,500,GirgGen,0.030771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,5.672425341971495,1.105793450881612,1.0,1,0.04878048780487805,0.0,2,356,0,0.0,0.0,0,0,0.0,0.0,0,4,1.146341463414634,1.0,47,0,0.0,0.0,0,Partition(BranchingPartition),success,0.020685,none,397,HTD,,0.028424,17,,,,,,,none,PartitionTreedec,0.081716
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1268 type=girg,,2491,497,500,GirgGen,0.2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,5.672425341971495,1.105793450881612,1.0,1,0.04878048780487805,0.0,2,356,0,0.0,0.0,0,0,0.0,0.0,0,4,1.0975609756097562,1.0,45,1,0.024390243902439025,0.0,1,Partition(BranchingPartition),success,0.019872,none,397,HTD,,0.113331,17,,,,,,,none,PartitionTreedec,0.405511
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1268 type=girg,,2491,497,500,GirgGen,0.008831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,5.672425341971495,1.105793450881612,1.0,1,0.04878048780487805,0.0,2,356,0,0.0,0.0,0,0,0.0,0.0,0,4,1.0975609756097562,1.0,45,1,0.024390243902439025,0.0,1,Partition(BranchingPartition),success,0.020607,none,397,HTD,,0.019652,17,,,,,,,none,PartitionTreedec,0.050933
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1268 type=girg,,2491,497,500,GirgGen,0.011998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,5.672425341971495,1.105793450881612,1.0,1,0.04878048780487805,0.0,2,356,0,0.0,0.0,0,0,0.0,0.0,0,4,1.146341463414634,1.0,47,0,0.0,0.0,0,Partition(BranchingPartition),success,0.020931,none,397,HTD,,0.013639,17,,,,,,,none,PartitionTreedec,0.048421
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1268 type=girg,,2491,497,500,GirgGen,0.090576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,5.672425341971495,1.105793450881612,1.0,1,0.04878048780487805,0.0,2,356,0,0.0,0.0,0,0,0.0,0.0,0,4,1.146341463414634,1.0,47,0,0.0,0.0,0,Partition(BranchingPartition),success,0.019923,none,397,HTD,,0.059891,17,,,,,,,none,PartitionTreedec,0.172122
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1269 type=girg,,2427,495,500,GirgGen,0.00784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,4,6.906890595608518,1.2160804020100502,1.0,8,0.3835616438356164,0.0,28,325,0,0.0,0.0,0,0,0.0,0.0,0,30,1.7534246575342465,1.0,128,2,0.2465753424657534,0.0,18,Partition(BranchingPartition),success,0.02793,none,398,HTD,,0.014623,13,,,,,,,none,PartitionTreedec,0.052227
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1269 type=girg,,2427,495,500,GirgGen,0.034445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,4,6.906890595608518,1.2160804020100502,1.0,7,0.3698630136986301,0.0,27,325,0,0.0,0.0,0,3,0.0410958904109589,0.0,3,27,1.7123287671232876,1.0,125,2,0.2465753424657534,0.0,18,Partition(BranchingPartition),success,0.028445,none,398,HTD,,0.021398,13,,,,,,,none,PartitionTreedec,0.086183
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1269 type=girg,,2427,495,500,GirgGen,0.008676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,4,6.906890595608518,1.2160804020100502,1.0,3,0.3150684931506849,0.0,23,325,4,0.0547945205479452,0.0,4,1,0.0136986301369863,0.0,1,14,1.5342465753424657,1.0,112,2,0.2465753424657534,0.0,18,Partition(BranchingPartition),success,0.027426,none,398,HTD,,0.022181,13,,,,,,,none,PartitionTreedec,0.060112
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=1269 type=girg,,2427,495,500,GirgGen,0.036581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,3,6.906890595608518,1.2060301507537687,1.0,8,0.4383561643835616,0.0,32,325,0,0.0,0.0,0,0,0.0,0.0,0,30,2.4657534246575343,1.0,180,0,0.0,0.0,0,Partition(BranchingPartition),success,0.0308,none,398,HTD,,0.073183,13,,,,,,,none,PartitionTreedec,0.142571
