Contraction.avg_deg,Contraction.error_status,Contraction.in_n,Contraction.largest_clique,Contraction.max_deg,Contraction.out_n,Contraction.time,GraphInput.error_status,GraphInput.girg_options,GraphInput.graph,GraphInput.m,GraphInput.n,GraphInput.n_gen,GraphInput.option,GraphInput.time,GraphStats.avg_deg,GraphStats.clustering,GraphStats.deg_cov,GraphStats.error_status,GraphStats.largest_clique,GraphStats.num_cliques,GraphStats.sum_clique_sizes,GraphStats.time,GraphStats2.error_status,GraphStats2.largest_bag_cc,GraphStats2.time,PartLargestBag.error_status,PartLargestBag.input_cliques_max,PartLargestBag.input_cliques_mean,PartLargestBag.input_cliques_median,PartLargestBag.input_cliques_sum,PartLargestBag.max_partition_num,PartLargestBag.max_weight,PartLargestBag.mean_partition_num,PartLargestBag.median_partition_num,PartLargestBag.num_branching_max,PartLargestBag.num_branching_mean,PartLargestBag.num_branching_median,PartLargestBag.num_branching_sum,PartLargestBag.num_clq_red,PartLargestBag.num_lb2_reductions_max,PartLargestBag.num_lb2_reductions_mean,PartLargestBag.num_lb2_reductions_median,PartLargestBag.num_lb2_reductions_sum,PartLargestBag.num_lb_reductions_max,PartLargestBag.num_lb_reductions_mean,PartLargestBag.num_lb_reductions_median,PartLargestBag.num_lb_reductions_sum,PartLargestBag.num_leaves_max,PartLargestBag.num_leaves_mean,PartLargestBag.num_leaves_median,PartLargestBag.num_leaves_sum,PartLargestBag.num_sw_reductions_max,PartLargestBag.num_sw_reductions_mean,PartLargestBag.num_sw_reductions_median,PartLargestBag.num_sw_reductions_sum,PartLargestBag.partition_option,PartLargestBag.status,PartLargestBag.time,Partition.AssignVertices.error_status,Partition.AssignVertices.option,Partition.AssignVertices.time,Partition.MaximalIS.error_status,Partition.MaximalIS.option,Partition.MaximalIS.size,Partition.MaximalIS.time,Partition.amount,Partition.average,Partition.error_status,Partition.hs_size,Partition.input_cliques,Partition.largest,Partition.lower_bound,Partition.median,Partition.num_branching,Partition.num_dead_end,Partition.num_lb2_reductions,Partition.num_lb_reductions,Partition.num_leaves,Partition.num_long_paths,Partition.num_sw_reductions,Partition.option,Partition.product_weight,Partition.smallest,Partition.status,Partition.time,PartitionBags.error_status,PartitionBags.input_cliques_max,PartitionBags.input_cliques_mean,PartitionBags.input_cliques_median,PartitionBags.input_cliques_sum,PartitionBags.max_partition_num,PartitionBags.max_weight,PartitionBags.mean_partition_num,PartitionBags.median_partition_num,PartitionBags.num_branching_max,PartitionBags.num_branching_mean,PartitionBags.num_branching_median,PartitionBags.num_branching_sum,PartitionBags.num_clq_red,PartitionBags.num_lb2_reductions_max,PartitionBags.num_lb2_reductions_mean,PartitionBags.num_lb2_reductions_median,PartitionBags.num_lb2_reductions_sum,PartitionBags.num_lb_reductions_max,PartitionBags.num_lb_reductions_mean,PartitionBags.num_lb_reductions_median,PartitionBags.num_lb_reductions_sum,PartitionBags.num_leaves_max,PartitionBags.num_leaves_mean,PartitionBags.num_leaves_median,PartitionBags.num_leaves_sum,PartitionBags.num_sw_reductions_max,PartitionBags.num_sw_reductions_mean,PartitionBags.num_sw_reductions_median,PartitionBags.num_sw_reductions_sum,PartitionBags.partition_option,PartitionBags.status,PartitionBags.time,Treewidth.error_status,Treewidth.num_bags,Treewidth.option,Treewidth.status,Treewidth.time,Treewidth.treewidth,WeightedTreewidth.elimination_width,WeightedTreewidth.error_status,WeightedTreewidth.option,WeightedTreewidth.time,WeightedTreewidth.time_elimination_game,WeightedTreewidth.treewidth,error_status,option,time
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=5768 type=girg,,24938,4860,5000,GirgGen,0.360938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,9,2.65962441314554,2.0,1133,4,9.829722735086058,1.1256913021618904,1.0,4,0.352112676056338,0.0,150,3552,6,0.023474178403755867,0.0,10,1,0.004694835680751174,0.0,2,14,1.3990610328638498,1.0,596,2,0.3427230046948357,0.0,146,Partition(BranchingPartition),success,0.241641,none,3978,HTD,,0.133784,34,,,,,,,none,PartitionTreedec,0.739049
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=5769 type=girg,,24863,4855,5000,GirgGen,0.085114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,9,2.5136986301369864,2.0,1101,4,8.832890014164741,1.134012928891099,1.0,5,0.3378995433789954,0.0,148,3584,7,0.045662100456621,0.0,20,2,0.0091324200913242,0.0,4,23,1.4748858447488584,1.0,646,2,0.2990867579908676,0.0,131,Partition(BranchingPartition),success,0.389795,none,4022,HTD,,0.158562,25,,,,,,,none,PartitionTreedec,0.636001
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=5770 type=girg,,24767,4887,5000,GirgGen,0.134294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,17,2.6823529411764704,2.0,912,4,10.693486957499324,1.10119940029985,1.0,14,0.3588235294117647,0.0,122,3662,27,0.09117647058823529,0.0,31,16,0.06764705882352941,0.0,23,83,1.6323529411764706,1.0,555,2,0.29705882352941176,0.0,101,Partition(BranchingPartition),success,0.220539,none,4002,HTD,,0.154986,34,,,,,,,none,PartitionTreedec,0.51244
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=5771 type=girg,,24841,4817,5000,GirgGen,0.054423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,17,2.6576576576576576,2.0,1180,5,11.430452551665532,1.142783769902414,1.0,13,0.3738738738738739,0.0,166,3450,19,0.04279279279279279,0.0,19,24,0.05405405405405406,0.0,24,85,1.5337837837837838,1.0,681,3,0.34459459459459457,0.0,153,Partition(BranchingPartition),success,0.252556,none,3894,HTD,,0.161149,37,,,,,,,none,PartitionTreedec,0.470879
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=5772 type=girg,,24760,4881,5000,GirgGen,0.106175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,11,2.630648330058939,2.0,1339,5,10.07681559705083,1.1622739018087855,1.0,12,0.3575638506876228,0.0,182,3361,13,0.029469548133595286,0.0,15,11,0.025540275049115914,0.0,13,56,1.455795677799607,1.0,741,3,0.3300589390962672,0.0,168,Partition(BranchingPartition),success,0.251582,none,3870,HTD,,0.1652,25,,,,,,,none,PartitionTreedec,0.525658
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=5773 type=girg,,25081,4804,5000,GirgGen,0.054471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,12,2.7714987714987713,2.0,1128,5,9.714245517666122,1.1263212168084558,1.0,5,0.35872235872235875,0.0,146,3472,11,0.04176904176904177,0.0,17,7,0.0171990171990172,0.0,7,28,1.461916461916462,1.0,595,3,0.3366093366093366,0.0,137,Partition(BranchingPartition),success,0.235225,none,3879,HTD,,0.126392,32,,,,,,,none,PartitionTreedec,0.418778
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=5774 type=girg,,24898,4854,5000,GirgGen,0.058733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,14,2.619341563786008,2.0,1273,5,11.643856189774725,1.1498998998999,1.0,16,0.37037037037037035,0.0,180,3510,47,0.1419753086419753,0.0,69,45,0.12962962962962962,0.0,63,114,1.699588477366255,1.0,826,3,0.31275720164609055,0.0,152,Partition(BranchingPartition),success,0.269945,none,3996,HTD,,0.186326,32,,,,,,,none,PartitionTreedec,0.51783
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=5775 type=girg,,25001,4860,5000,GirgGen,0.100876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,13,2.7521008403361344,2.0,1310,5,10.731319031025063,1.1510681586978637,1.0,36,0.45588235294117646,0.0,217,3456,37,0.14285714285714285,0.0,68,54,0.1407563025210084,0.0,67,159,1.8298319327731092,1.0,871,3,0.3550420168067227,0.0,169,Partition(BranchingPartition),success,0.262428,none,3932,HTD,,0.124345,27,,,,,,,none,PartitionTreedec,0.490389
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=5776 type=girg,,25104,4875,5000,GirgGen,0.055119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,15,2.738425925925926,2.0,1183,5,11.851749041416058,1.1351958094287853,1.0,10,0.375,0.0,162,3577,18,0.041666666666666664,0.0,18,23,0.05324074074074074,0.0,23,62,1.4930555555555556,1.0,645,3,0.35185185185185186,0.0,152,Partition(BranchingPartition),success,0.247893,none,4009,HTD,,0.124086,34,,,,,,,none,PartitionTreedec,0.42983
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.3 seed=5777 type=girg,,24785,4776,5000,GirgGen,0.059892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,16,2.912663755458515,2.0,1334,5,12.103287808412022,1.1549475837381744,1.0,20,0.4781659388646288,0.0,219,3453,57,0.12445414847161572,0.0,57,52,0.11353711790393013,0.0,52,140,1.737991266375546,1.0,796,3,0.4344978165938865,0.0,199,Partition(BranchingPartition),success,0.250898,none,3911,HTD,,0.149132,32,,,,,,,none,PartitionTreedec,0.462583
