Contraction.avg_deg,Contraction.error_status,Contraction.in_n,Contraction.largest_clique,Contraction.max_deg,Contraction.out_n,Contraction.time,GraphInput.error_status,GraphInput.girg_options,GraphInput.graph,GraphInput.m,GraphInput.n,GraphInput.n_gen,GraphInput.option,GraphInput.time,GraphStats.avg_deg,GraphStats.clustering,GraphStats.deg_cov,GraphStats.error_status,GraphStats.largest_clique,GraphStats.num_cliques,GraphStats.sum_clique_sizes,GraphStats.time,GraphStats2.error_status,GraphStats2.largest_bag_cc,GraphStats2.time,PartLargestBag.error_status,PartLargestBag.input_cliques_max,PartLargestBag.input_cliques_mean,PartLargestBag.input_cliques_median,PartLargestBag.input_cliques_sum,PartLargestBag.max_partition_num,PartLargestBag.max_weight,PartLargestBag.mean_partition_num,PartLargestBag.median_partition_num,PartLargestBag.num_branching_max,PartLargestBag.num_branching_mean,PartLargestBag.num_branching_median,PartLargestBag.num_branching_sum,PartLargestBag.num_clq_red,PartLargestBag.num_lb2_reductions_max,PartLargestBag.num_lb2_reductions_mean,PartLargestBag.num_lb2_reductions_median,PartLargestBag.num_lb2_reductions_sum,PartLargestBag.num_lb_reductions_max,PartLargestBag.num_lb_reductions_mean,PartLargestBag.num_lb_reductions_median,PartLargestBag.num_lb_reductions_sum,PartLargestBag.num_leaves_max,PartLargestBag.num_leaves_mean,PartLargestBag.num_leaves_median,PartLargestBag.num_leaves_sum,PartLargestBag.num_sw_reductions_max,PartLargestBag.num_sw_reductions_mean,PartLargestBag.num_sw_reductions_median,PartLargestBag.num_sw_reductions_sum,PartLargestBag.partition_option,PartLargestBag.status,PartLargestBag.time,Partition.AssignVertices.error_status,Partition.AssignVertices.option,Partition.AssignVertices.time,Partition.MaximalIS.error_status,Partition.MaximalIS.option,Partition.MaximalIS.size,Partition.MaximalIS.time,Partition.amount,Partition.average,Partition.error_status,Partition.hs_size,Partition.input_cliques,Partition.largest,Partition.lower_bound,Partition.median,Partition.num_branching,Partition.num_dead_end,Partition.num_lb2_reductions,Partition.num_lb_reductions,Partition.num_leaves,Partition.num_long_paths,Partition.num_sw_reductions,Partition.option,Partition.product_weight,Partition.smallest,Partition.status,Partition.time,PartitionBags.error_status,PartitionBags.input_cliques_max,PartitionBags.input_cliques_mean,PartitionBags.input_cliques_median,PartitionBags.input_cliques_sum,PartitionBags.max_partition_num,PartitionBags.max_weight,PartitionBags.mean_partition_num,PartitionBags.median_partition_num,PartitionBags.num_branching_max,PartitionBags.num_branching_mean,PartitionBags.num_branching_median,PartitionBags.num_branching_sum,PartitionBags.num_clq_red,PartitionBags.num_lb2_reductions_max,PartitionBags.num_lb2_reductions_mean,PartitionBags.num_lb2_reductions_median,PartitionBags.num_lb2_reductions_sum,PartitionBags.num_lb_reductions_max,PartitionBags.num_lb_reductions_mean,PartitionBags.num_lb_reductions_median,PartitionBags.num_lb_reductions_sum,PartitionBags.num_leaves_max,PartitionBags.num_leaves_mean,PartitionBags.num_leaves_median,PartitionBags.num_leaves_sum,PartitionBags.num_sw_reductions_max,PartitionBags.num_sw_reductions_mean,PartitionBags.num_sw_reductions_median,PartitionBags.num_sw_reductions_sum,PartitionBags.partition_option,PartitionBags.status,PartitionBags.time,Treewidth.error_status,Treewidth.num_bags,Treewidth.option,Treewidth.status,Treewidth.time,Treewidth.treewidth,WeightedTreewidth.elimination_width,WeightedTreewidth.error_status,WeightedTreewidth.option,WeightedTreewidth.time,WeightedTreewidth.time_elimination_game,WeightedTreewidth.treewidth,error_status,option,time
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=1268 type=girg,,2478,498,500,GirgGen,0.010904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,2.5172413793103448,2.0,365,3,5.906890595608518,1.3985680190930787,1.0,1,0.33793103448275863,0.0,49,274,1,0.013793103448275862,0.0,2,0,0.0,0.0,0,6,1.4275862068965517,1.0,207,1,0.3103448275862069,0.0,45,Partition(BranchingPartition),success,0.042813,none,419,HTD,,0.014353,15,,,,,,,none,PartitionTreedec,0.070215
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=1269 type=girg,,2439,500,500,GirgGen,0.162976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,7,2.572139303482587,2.0,517,4,6.584962500721156,1.6161369193154034,1.0,3,0.38308457711442784,0.0,77,208,4,0.03980099502487562,0.0,8,2,0.014925373134328358,0.0,3,12,1.4776119402985075,1.0,297,2,0.3582089552238806,0.0,72,Partition(BranchingPartition),success,0.057901,none,409,HTD,,0.016105,11,,,,,,,none,PartitionTreedec,0.239263
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=1270 type=girg,,2488,497,500,GirgGen,0.008731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,7,2.7142857142857144,2.0,418,4,7.459431618637297,1.4962779156327544,1.0,8,0.461038961038961,0.0,71,249,3,0.01948051948051948,0.0,3,3,0.01948051948051948,0.0,3,29,1.6428571428571428,1.0,253,2,0.38961038961038963,0.0,60,Partition(BranchingPartition),success,0.046644,none,403,HTD,,0.018376,15,,,,,,,none,PartitionTreedec,0.076053
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=1271 type=girg,,2443,486,500,GirgGen,0.008631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,14,2.86875,2.0,459,4,8.07681559705083,1.5115681233933163,1.0,11,0.59375,0.0,95,229,13,0.11875,0.0,19,13,0.10625,0.0,17,52,2.2125,1.0,354,2,0.4,0.0,64,Partition(BranchingPartition),success,0.051637,none,389,HTD,,0.015802,15,,,,,,,none,PartitionTreedec,0.078317
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=1272 type=girg,,2420,491,500,GirgGen,0.008756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,8,2.679738562091503,2.0,410,3,6.321928094887362,1.4441687344913152,1.0,2,0.3660130718954248,0.0,56,250,5,0.0392156862745098,0.0,6,1,0.013071895424836602,0.0,2,9,1.5032679738562091,1.0,230,2,0.32679738562091504,0.0,50,Partition(BranchingPartition),success,0.046751,none,403,HTD,,0.017097,12,,,,,,,none,PartitionTreedec,0.074966
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=1273 type=girg,,2515,497,500,GirgGen,0.034813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,9,2.7435897435897436,2.0,428,3,6.906890595608518,1.4479418886198547,1.0,4,0.40384615384615385,0.0,63,257,5,0.03205128205128205,0.0,5,1,0.00641025641025641,0.0,1,20,1.5576923076923077,1.0,243,1,0.358974358974359,0.0,56,Partition(BranchingPartition),success,0.048463,none,413,HTD,,0.023318,14,,,,,,,none,PartitionTreedec,0.108931
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=1274 type=girg,,2565,486,500,GirgGen,0.008494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,8,2.5524475524475525,2.0,365,3,6.169925001442312,1.4154228855721394,1.0,2,0.35664335664335667,0.0,51,259,2,0.013986013986013986,0.0,2,0,0.0,0.0,0,6,1.4265734265734267,1.0,204,1,0.3356643356643357,0.0,48,Partition(BranchingPartition),success,0.043659,none,402,HTD,,0.016208,12,,,,,,,none,PartitionTreedec,0.070585
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=1275 type=girg,,2461,490,500,GirgGen,0.008574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,5,2.3529411764705883,2.0,400,3,5.459431618637297,1.4793814432989691,1.0,1,0.2529411764705882,0.0,43,218,0,0.0,0.0,0,0,0.0,0.0,0,5,1.2941176470588236,1.0,220,1,0.23529411764705882,0.0,40,Partition(BranchingPartition),success,0.046786,none,388,HTD,,0.015062,12,,,,,,,none,PartitionTreedec,0.07265
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=1276 type=girg,,2473,498,500,GirgGen,0.00876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,7,2.6033519553072626,2.0,466,3,6.339850002884624,1.4963680387409202,1.0,3,0.3128491620111732,0.0,56,234,1,0.00558659217877095,0.0,1,2,0.01675977653631285,0.0,3,14,1.4134078212290502,1.0,253,2,0.27932960893854747,0.0,50,Partition(BranchingPartition),success,0.052607,none,413,HTD,,0.015834,12,,,,,,,none,PartitionTreedec,0.079564
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=1277 type=girg,,2449,495,500,GirgGen,0.019997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,9,2.9760765550239237,2.0,622,5,8.321928094887362,1.7091346153846154,2.0,8,0.583732057416268,0.0,122,207,2,0.009569377990430622,0.0,2,6,0.028708133971291867,0.0,6,37,1.7177033492822966,1.0,359,3,0.5454545454545454,0.0,114,Partition(BranchingPartition),success,0.060709,none,416,HTD,,0.016071,14,,,,,,,none,PartitionTreedec,0.099106
