Contraction.avg_deg,Contraction.error_status,Contraction.in_n,Contraction.largest_clique,Contraction.max_deg,Contraction.out_n,Contraction.time,GraphInput.error_status,GraphInput.girg_options,GraphInput.graph,GraphInput.m,GraphInput.n,GraphInput.n_gen,GraphInput.option,GraphInput.time,GraphStats.avg_deg,GraphStats.clustering,GraphStats.deg_cov,GraphStats.error_status,GraphStats.largest_clique,GraphStats.num_cliques,GraphStats.sum_clique_sizes,GraphStats.time,GraphStats2.error_status,GraphStats2.largest_bag_cc,GraphStats2.time,PartLargestBag.error_status,PartLargestBag.input_cliques_max,PartLargestBag.input_cliques_mean,PartLargestBag.input_cliques_median,PartLargestBag.input_cliques_sum,PartLargestBag.max_partition_num,PartLargestBag.max_weight,PartLargestBag.mean_partition_num,PartLargestBag.median_partition_num,PartLargestBag.num_branching_max,PartLargestBag.num_branching_mean,PartLargestBag.num_branching_median,PartLargestBag.num_branching_sum,PartLargestBag.num_clq_red,PartLargestBag.num_lb2_reductions_max,PartLargestBag.num_lb2_reductions_mean,PartLargestBag.num_lb2_reductions_median,PartLargestBag.num_lb2_reductions_sum,PartLargestBag.num_lb_reductions_max,PartLargestBag.num_lb_reductions_mean,PartLargestBag.num_lb_reductions_median,PartLargestBag.num_lb_reductions_sum,PartLargestBag.num_leaves_max,PartLargestBag.num_leaves_mean,PartLargestBag.num_leaves_median,PartLargestBag.num_leaves_sum,PartLargestBag.num_sw_reductions_max,PartLargestBag.num_sw_reductions_mean,PartLargestBag.num_sw_reductions_median,PartLargestBag.num_sw_reductions_sum,PartLargestBag.partition_option,PartLargestBag.status,PartLargestBag.time,Partition.AssignVertices.error_status,Partition.AssignVertices.option,Partition.AssignVertices.time,Partition.MaximalIS.error_status,Partition.MaximalIS.option,Partition.MaximalIS.size,Partition.MaximalIS.time,Partition.amount,Partition.average,Partition.error_status,Partition.hs_size,Partition.input_cliques,Partition.largest,Partition.lower_bound,Partition.median,Partition.num_branching,Partition.num_dead_end,Partition.num_lb2_reductions,Partition.num_lb_reductions,Partition.num_leaves,Partition.num_long_paths,Partition.num_sw_reductions,Partition.option,Partition.product_weight,Partition.smallest,Partition.status,Partition.time,PartitionBags.error_status,PartitionBags.input_cliques_max,PartitionBags.input_cliques_mean,PartitionBags.input_cliques_median,PartitionBags.input_cliques_sum,PartitionBags.max_partition_num,PartitionBags.max_weight,PartitionBags.mean_partition_num,PartitionBags.median_partition_num,PartitionBags.num_branching_max,PartitionBags.num_branching_mean,PartitionBags.num_branching_median,PartitionBags.num_branching_sum,PartitionBags.num_clq_red,PartitionBags.num_lb2_reductions_max,PartitionBags.num_lb2_reductions_mean,PartitionBags.num_lb2_reductions_median,PartitionBags.num_lb2_reductions_sum,PartitionBags.num_lb_reductions_max,PartitionBags.num_lb_reductions_mean,PartitionBags.num_lb_reductions_median,PartitionBags.num_lb_reductions_sum,PartitionBags.num_leaves_max,PartitionBags.num_leaves_mean,PartitionBags.num_leaves_median,PartitionBags.num_leaves_sum,PartitionBags.num_sw_reductions_max,PartitionBags.num_sw_reductions_mean,PartitionBags.num_sw_reductions_median,PartitionBags.num_sw_reductions_sum,PartitionBags.partition_option,PartitionBags.status,PartitionBags.time,Treewidth.error_status,Treewidth.num_bags,Treewidth.option,Treewidth.status,Treewidth.time,Treewidth.treewidth,WeightedTreewidth.elimination_width,WeightedTreewidth.error_status,WeightedTreewidth.option,WeightedTreewidth.time,WeightedTreewidth.time_elimination_game,WeightedTreewidth.treewidth,error_status,option,time
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=7314 type=girg,,32665,6427,6546,GirgGen,0.112146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,20,3.0114370959721533,2.0,6056,7,11.714245517666122,1.4904964015501014,1.0,40,0.5057185479860766,0.0,1017,3408,88,0.04375932371954252,0.0,88,93,0.04624564893088016,0.0,93,247,1.6081551466931874,1.0,3234,5,0.48582794629537546,0.0,977,Partition(BranchingPartition),success,1.452995,none,5419,HTD,,0.890566,27,,,,,,,none,PartitionTreedec,2.459131
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=7315 type=girg,,32708,6450,6546,GirgGen,0.098132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,19,2.8790110468174643,2.0,5473,6,11.951284714966972,1.4445054945054945,1.0,132,0.48816412414518673,0.0,928,3559,144,0.07574960547080484,0.0,144,258,0.135718043135192,0.0,258,662,1.7664387164650184,1.0,3358,4,0.41872698579694895,0.0,796,Partition(BranchingPartition),success,0.644555,none,5460,HTD,,0.288804,22,,,,,,,none,PartitionTreedec,1.034961
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=7316 type=girg,,33076,6487,6546,GirgGen,0.108065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,16,3.1282628262826284,2.0,6951,6,11.813781191217036,1.5579143389199255,1.0,40,0.5621062106210621,0.0,1249,3148,49,0.043204320432043204,0.0,96,125,0.10666066606660667,0.0,237,244,1.7425742574257426,1.0,3872,4,0.527002700270027,0.0,1171,Partition(BranchingPartition),success,0.776349,none,5370,HTD,,0.248735,26,,,,,,,none,PartitionTreedec,1.136981
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=7317 type=girg,,32756,6451,6546,GirgGen,0.086273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,22,3.27390527256479,2.0,7327,8,13.621136113274641,1.5857943925233644,1.0,98,0.599195710455764,0.0,1341,3112,174,0.0777479892761394,0.0,174,339,0.15147453083109919,0.0,339,635,1.8386952636282394,1.0,4115,6,0.5554066130473637,0.0,1243,Partition(BranchingPartition),success,0.775176,none,5350,HTD,,0.224362,28,,,,,,,none,PartitionTreedec,1.089397
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=7318 type=girg,,32410,6441,6546,GirgGen,0.114422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,21,3.0686567164179106,2.0,6168,8,14.299208018387278,1.5000927471712113,1.0,198,0.5935323383084578,0.0,1193,3381,284,0.14129353233830846,0.0,284,600,0.29850746268656714,0.0,600,1162,2.072636815920398,1.0,4166,6,0.49502487562189057,0.0,995,Partition(BranchingPartition),success,0.698537,none,5391,HTD,,0.235973,30,,,,,,,none,PartitionTreedec,1.052382
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=7319 type=girg,,32771,6466,6546,GirgGen,0.076493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,29,3.0431390546122072,2.0,6631,7,12.977279923499916,1.5457546304786356,1.0,105,0.5814593850390087,0.0,1267,3274,88,0.0559889857732905,0.0,122,151,0.10188159706287288,0.0,222,479,1.8086278109224414,1.0,3941,5,0.5199632859109683,0.0,1133,Partition(BranchingPartition),success,0.693861,none,5453,HTD,,0.210267,27,,,,,,,none,PartitionTreedec,0.984187
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=7320 type=girg,,32756,6451,6546,GirgGen,0.078067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,35,3.290713952403173,2.0,7052,8,15.791061114716953,1.5597673109401389,1.0,437,0.7606159589360709,0.0,1630,3186,1095,0.510965935604293,0.0,1095,2187,1.0205319645356976,0.0,2187,3788,3.323845076994867,1.0,7123,6,0.5566962202519832,0.0,1193,Partition(BranchingPartition),success,1.149808,none,5329,HTD,,0.271024,32,,,,,,,none,PartitionTreedec,1.502377
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=7321 type=girg,,32592,6455,6546,GirgGen,0.074914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,23,2.9618117229129663,2.0,6670,6,10.936637939002571,1.549713016108128,1.0,14,0.48756660746003555,0.0,1098,3149,38,0.019982238010657193,0.0,45,40,0.019538188277087035,0.0,44,106,1.5346358792184724,1.0,3456,4,0.47957371225577267,0.0,1080,Partition(BranchingPartition),success,0.672239,none,5401,HTD,,0.211217,25,,,,,,,none,PartitionTreedec,0.961874
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=7322 type=girg,,32759,6397,6546,GirgGen,0.083838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,24,3.117926771279125,2.0,6557,6,11.321928094887362,1.5198816349176993,1.0,30,0.5430337612933904,0.0,1142,3304,47,0.05515929624346172,0.0,116,57,0.07417974322396577,0.0,156,153,1.7132667617689015,1.0,3603,4,0.5035663338088445,0.0,1059,Partition(BranchingPartition),success,0.672714,none,5407,HTD,,0.300199,28,,,,,,,none,PartitionTreedec,1.060362
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.5 seed=7323 type=girg,,32841,6453,6546,GirgGen,0.075421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,23,2.9856007944389273,2.0,6013,7,11.977279923499916,1.4922531267500467,1.0,145,0.6241310824230387,0.0,1257,3343,258,0.2567030784508441,0.0,517,328,0.3833167825223436,0.0,772,831,2.3570009930486595,1.0,4747,4,0.4726911618669315,0.0,952,Partition(BranchingPartition),success,0.741868,none,5357,HTD,,0.226371,25,,,,,,,none,PartitionTreedec,1.047154
