Contraction.avg_deg,Contraction.error_status,Contraction.in_n,Contraction.largest_clique,Contraction.max_deg,Contraction.out_n,Contraction.time,GraphInput.error_status,GraphInput.girg_options,GraphInput.graph,GraphInput.m,GraphInput.n,GraphInput.n_gen,GraphInput.option,GraphInput.time,GraphStats.avg_deg,GraphStats.clustering,GraphStats.deg_cov,GraphStats.error_status,GraphStats.largest_clique,GraphStats.num_cliques,GraphStats.sum_clique_sizes,GraphStats.time,GraphStats2.error_status,GraphStats2.largest_bag_cc,GraphStats2.time,PartLargestBag.error_status,PartLargestBag.input_cliques_max,PartLargestBag.input_cliques_mean,PartLargestBag.input_cliques_median,PartLargestBag.input_cliques_sum,PartLargestBag.max_partition_num,PartLargestBag.max_weight,PartLargestBag.mean_partition_num,PartLargestBag.median_partition_num,PartLargestBag.num_branching_max,PartLargestBag.num_branching_mean,PartLargestBag.num_branching_median,PartLargestBag.num_branching_sum,PartLargestBag.num_clq_red,PartLargestBag.num_lb2_reductions_max,PartLargestBag.num_lb2_reductions_mean,PartLargestBag.num_lb2_reductions_median,PartLargestBag.num_lb2_reductions_sum,PartLargestBag.num_lb_reductions_max,PartLargestBag.num_lb_reductions_mean,PartLargestBag.num_lb_reductions_median,PartLargestBag.num_lb_reductions_sum,PartLargestBag.num_leaves_max,PartLargestBag.num_leaves_mean,PartLargestBag.num_leaves_median,PartLargestBag.num_leaves_sum,PartLargestBag.num_sw_reductions_max,PartLargestBag.num_sw_reductions_mean,PartLargestBag.num_sw_reductions_median,PartLargestBag.num_sw_reductions_sum,PartLargestBag.partition_option,PartLargestBag.status,PartLargestBag.time,Partition.AssignVertices.error_status,Partition.AssignVertices.option,Partition.AssignVertices.time,Partition.MaximalIS.error_status,Partition.MaximalIS.option,Partition.MaximalIS.size,Partition.MaximalIS.time,Partition.amount,Partition.average,Partition.error_status,Partition.hs_size,Partition.input_cliques,Partition.largest,Partition.lower_bound,Partition.median,Partition.num_branching,Partition.num_dead_end,Partition.num_lb2_reductions,Partition.num_lb_reductions,Partition.num_leaves,Partition.num_long_paths,Partition.num_sw_reductions,Partition.option,Partition.product_weight,Partition.smallest,Partition.status,Partition.time,PartitionBags.error_status,PartitionBags.input_cliques_max,PartitionBags.input_cliques_mean,PartitionBags.input_cliques_median,PartitionBags.input_cliques_sum,PartitionBags.max_partition_num,PartitionBags.max_weight,PartitionBags.mean_partition_num,PartitionBags.median_partition_num,PartitionBags.num_branching_max,PartitionBags.num_branching_mean,PartitionBags.num_branching_median,PartitionBags.num_branching_sum,PartitionBags.num_clq_red,PartitionBags.num_lb2_reductions_max,PartitionBags.num_lb2_reductions_mean,PartitionBags.num_lb2_reductions_median,PartitionBags.num_lb2_reductions_sum,PartitionBags.num_lb_reductions_max,PartitionBags.num_lb_reductions_mean,PartitionBags.num_lb_reductions_median,PartitionBags.num_lb_reductions_sum,PartitionBags.num_leaves_max,PartitionBags.num_leaves_mean,PartitionBags.num_leaves_median,PartitionBags.num_leaves_sum,PartitionBags.num_sw_reductions_max,PartitionBags.num_sw_reductions_mean,PartitionBags.num_sw_reductions_median,PartitionBags.num_sw_reductions_sum,PartitionBags.partition_option,PartitionBags.status,PartitionBags.time,Treewidth.error_status,Treewidth.num_bags,Treewidth.option,Treewidth.status,Treewidth.time,Treewidth.treewidth,WeightedTreewidth.elimination_width,WeightedTreewidth.error_status,WeightedTreewidth.option,WeightedTreewidth.time,WeightedTreewidth.time_elimination_game,WeightedTreewidth.treewidth,error_status,option,time
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.9 seed=10724 type=girg,,49903,9834,9956,GirgGen,0.096828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,6,2.3476997578692496,2.0,4848,4,7.169925001442312,1.3532530811120664,1.0,3,0.28958837772397095,0.0,598,4913,3,0.001937046004842615,0.0,4,1,0.00048426150121065375,0.0,1,13,1.2983050847457627,1.0,2681,2,0.28619854721549637,0.0,591,Partition(BranchingPartition),success,1.42844,none,6978,HTD,,0.383044,16,,,,,,,none,PartitionTreedec,1.912069
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.9 seed=10725 type=girg,,49904,9871,9956,GirgGen,0.09519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,8,2.4041065967671473,2.0,5503,5,7.39231742277876,1.4039301310043668,1.0,6,0.31891655744866754,0.0,730,4581,3,0.003931847968545216,0.0,9,7,0.00655307994757536,0.0,15,21,1.3490607252075142,1.0,3088,3,0.30930537352555704,0.0,708,Partition(BranchingPartition),success,0.718531,none,6870,HTD,,0.236878,15,,,,,,,none,PartitionTreedec,1.054668
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.9 seed=10726 type=girg,,49855,9815,9956,GirgGen,0.100502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,9,2.4109311740890687,2.0,5955,5,7.754887502163468,1.4451650943396226,1.0,4,0.3283400809716599,0.0,811,4314,6,0.004048582995951417,0.0,10,4,0.0024291497975708503,0.0,6,21,1.3388663967611336,1.0,3307,3,0.3259109311740891,0.0,805,Partition(BranchingPartition),success,0.830968,none,6784,HTD,,0.300239,15,,,,,,,none,PartitionTreedec,1.235554
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.9 seed=10727 type=girg,,49466,9819,9956,GirgGen,0.101279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,7,2.3767937679376794,2.0,5797,5,7.92481250360578,1.4340097763294326,1.0,5,0.30545305453054533,0.0,745,4312,4,0.0024600246002460025,0.0,6,4,0.002870028700287003,0.0,7,22,1.3157031570315703,1.0,3209,3,0.3021730217302173,0.0,737,Partition(BranchingPartition),success,0.80889,none,6751,HTD,,0.291945,13,,,,,,,none,PartitionTreedec,1.205715
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.9 seed=10728 type=girg,,49502,9885,9956,GirgGen,0.095496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,6,2.4251401120896716,2.0,6058,5,6.754887502163468,1.4542642509942554,1.0,5,0.3466773418734988,0.0,866,4291,2,0.0024019215372297837,0.0,6,1,0.0012009607686148918,0.0,3,18,1.364691753402722,1.0,3409,3,0.3398718975180144,0.0,849,Partition(BranchingPartition),success,0.778539,none,6789,HTD,,0.234904,15,,,,,,,none,PartitionTreedec,1.112841
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.9 seed=10729 type=girg,,49338,9763,9956,GirgGen,0.133879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,9,2.4022988505747125,2.0,5643,5,9.965784284662087,1.41768427247315,1.0,19,0.31247339293316306,0.0,734,4448,15,0.006385696040868455,0.0,15,13,0.005534269902085994,0.0,13,80,1.3380161770966368,1.0,3143,3,0.3043848446147297,0.0,715,Partition(BranchingPartition),success,0.730088,none,6797,HTD,,0.347881,18,,,,,,,none,PartitionTreedec,1.215716
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.9 seed=10730 type=girg,,49642,9801,9956,GirgGen,0.099746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,6,2.3606893721789084,2.0,5753,5,7.491853096329674,1.4247608002319514,1.0,5,0.29872794419368076,0.0,728,4461,2,0.0016413623307345096,0.0,4,2,0.0012310217480508822,0.0,3,19,1.312679524004924,1.0,3199,3,0.2938038572014772,0.0,716,Partition(BranchingPartition),success,0.823334,none,6898,HTD,,0.235731,16,,,,,,,none,PartitionTreedec,1.162451
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.9 seed=10731 type=girg,,49182,9618,9956,GirgGen,0.108108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,6,2.394510446538304,2.0,5845,4,6.906890595608518,1.443554480882575,1.0,4,0.31872183531339615,0.0,778,4176,3,0.0024580090126997134,0.0,6,1,0.00040966816878328555,0.0,1,15,1.330192544039328,1.0,3247,2,0.3146251536255633,0.0,768,Partition(BranchingPartition),success,0.866601,none,6617,HTD,,0.226472,15,,,,,,,none,PartitionTreedec,1.20496
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.9 seed=10732 type=girg,,48404,9494,9956,GirgGen,0.096207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,7,2.4491017964071857,2.0,5726,5,7.584962500721156,1.4359830097087378,1.0,12,0.3550042771599658,0.0,830,4254,6,0.00855431993156544,0.0,20,7,0.007698887938408896,0.0,18,48,1.3990590248075279,1.0,3271,3,0.34046193327630453,0.0,796,Partition(BranchingPartition),success,0.694324,none,6592,HTD,,0.234921,16,,,,,,,none,PartitionTreedec,1.029063
,,,,,,,none,alpha=inf d=1 deg=10 ple=2.9 seed=10733 type=girg,,49546,9884,9956,GirgGen,0.096942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,7,2.383005441607367,2.0,5693,5,8.07681559705083,1.4226129922976312,1.0,4,0.31226454583507746,0.0,746,4492,4,0.0029300962745918793,0.0,7,2,0.0008371703641691084,0.0,2,19,1.3206362494767685,1.0,3155,3,0.3097530347425701,0.0,740,Partition(BranchingPartition),success,0.782001,none,6881,HTD,,0.303675,15,,,,,,,none,PartitionTreedec,1.186401
