Contraction:avg_deg,Contraction:in_n,Contraction:largest_clique,Contraction:max_deg,Contraction:out_n,Contraction:time,GraphInput:girg_options,GraphInput:graph,GraphInput:m,GraphInput:n,GraphInput:n_gen,GraphInput:option,GraphInput:time,PartLargestBag:max_partition_num,PartLargestBag:max_weight,PartLargestBag:mean_partition_num,PartLargestBag:median_partition_num,PartLargestBag:partition_option,PartLargestBag:time,Partition:AssignVertices:option,Partition:AssignVertices:time,Partition:MaximalIS:option,Partition:MaximalIS:size,Partition:MaximalIS:time,Partition:amount,Partition:average,Partition:hs_size,Partition:largest,Partition:median,Partition:num_branching,Partition:num_dead_end,Partition:num_lb2_reductions,Partition:num_lb_reductions,Partition:num_leaves,Partition:num_long_paths,Partition:num_sw_reductions,Partition:option,Partition:product_weight,Partition:smallest,Partition:time,PartitionBags:max_partition_num,PartitionBags:max_weight,PartitionBags:mean_partition_num,PartitionBags:median_partition_num,PartitionBags:partition_option,PartitionBags:time,Treewidth:clique_number,Treewidth:num_bags,Treewidth:option,Treewidth:time,Treewidth:treewidth,WeightedTreewidth:elimination_width,WeightedTreewidth:option,WeightedTreewidth:time,WeightedTreewidth:time_elimination_game,WeightedTreewidth:treewidth,option,time
,,,,,,,08blocks,72,38,,ReadEL,0.015264,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,1.0,1.0,Partition(FastLargestClique),0.000709,3,36,HTD,0.009412,2,,,,,,PartitionTreedec,0.025614
,,,,,,,1138_bus,1457,1138,,ReadEL,0.005383,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.169925001442312,1.7123161764705883,1.0,Partition(FastLargestClique),0.092727,5,1088,HTD,0.030546,9,,,,,,PartitionTreedec,0.128958
,,,,,,,130bit,6057,584,,ReadEL,0.013376,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,220.1765235375361,24.332167832167833,11.0,Partition(FastLargestClique),1.155578,6,286,HTD,0.944057,294,,,,,,PartitionTreedec,2.113264
,,,,,,,145bit,11250,1002,,ReadEL,0.018024,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,370.36901108585283,27.637795275590552,12.0,Partition(FastLargestClique),1.556159,6,508,HTD,1.828655,486,,,,,,PartitionTreedec,3.403109
,,,,,,,162bit,37068,3606,,ReadEL,0.121986,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,1349.4190876694365,45.99191374663073,13.0,Partition(FastLargestClique),5.491852,5,1855,HTD,49.544169,1726,,,,,,PartitionTreedec,55.158463
,,,,,,,176bit,82203,7441,,ReadEL,0.162841,,,,,,,,,,,,,,,,,,,,,,,,,,,,3830,5871.415119087405,3830.0,3830.0,Partition(FastLargestClique),0.915245,6,1,HTD,183.060995,-1,,,,,,PartitionTreedec,184.139462
,,,,,,,3elt,13721,4720,,ReadEL,0.038444,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,71.3985000288462,5.725542570951586,4.0,Partition(FastLargestClique),1.396083,3,2995,HTD,0.172569,88,,,,,,PartitionTreedec,1.607553
,,,,,,,494_bus,585,494,,ReadEL,0.003767,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.0,1.7446808510638299,1.0,Partition(FastLargestClique),0.039184,3,470,HTD,0.010286,8,,,,,,PartitionTreedec,0.05347
,,,,,,,662_bus,905,662,,ReadEL,0.029694,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13.169925001442312,2.535657686212361,2.0,Partition(FastLargestClique),0.131552,4,631,HTD,0.220118,13,,,,,,PartitionTreedec,0.381663
,,,,,,,685_bus,1281,685,,ReadEL,0.003399,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13.339850002884624,3.2122719734660032,3.0,Partition(FastLargestClique),0.370859,6,603,HTD,0.017635,14,,,,,,PartitionTreedec,0.392168
,,,,,,,a5esindl,109999,60008,,ReadEL,0.216771,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.584962500721156,2.2496666888874075,2.0,Partition(FastLargestClique),8.89861,3,60004,HTD,4.963269,4,,,,,,PartitionTreedec,14.083472
,,,,,,,aa01,72913,8904,,ReadEL,0.151689,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,509.2587907513764,10.055367094741943,8.0,Partition(FastLargestClique),2.832812,6,8254,HTD,2.956791,638,,,,,,PartitionTreedec,5.942391
,,,,,,,aa03,70760,8627,,ReadEL,0.134558,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,482.94036252089455,10.123484564429447,8.0,Partition(FastLargestClique),2.881199,5,8001,HTD,2.981785,612,,,,,,PartitionTreedec,5.998446
,,,,,,,aa4,52089,7195,,ReadEL,0.153836,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,261.93433744445394,7.7042438384133005,7.0,Partition(FastLargestClique),1.925888,5,6857,HTD,1.268315,332,,,,,,PartitionTreedec,3.349017
,,,,,,,aa5,65916,8308,,ReadEL,0.160484,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,475.07444370634283,9.879433545537223,8.0,Partition(FastLargestClique),2.380413,5,7697,HTD,2.59721,590,,,,,,PartitionTreedec,5.138987
,,,,,,,aa6,51699,7292,,ReadEL,0.104866,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,381.63497189644096,8.614852941176471,7.0,Partition(FastLargestClique),1.856266,4,6800,HTD,2.100832,484,,,,,,PartitionTreedec,4.062801
,,,,,,,ABACUS_shell_hd,97535,23412,,ReadEL,0.191032,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,196.04374065618597,6.8878216123499145,4.0,Partition(FastLargestClique),2.763987,8,11660,HTD,1.122012,253,,,,,,PartitionTreedec,4.078192
,,,,,,,abb313,1552,313,,ReadEL,0.004356,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,57.11428751370195,12.091304347826087,5.0,Partition(FastLargestClique),0.160076,3,230,HTD,0.495624,64,,,,,,PartitionTreedec,0.6603
,,,,,,,abtaha1,51281,14596,,ReadEL,0.195302,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,137.8526375454329,3.6506274700131733,4.0,Partition(FastLargestClique),2.813108,3,14423,HTD,0.957841,163,,,,,,PartitionTreedec,3.967512
,,,,,,,abtaha2,137204,37932,,ReadEL,0.297684,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,232.5158000807698,3.761577087595313,4.0,Partition(FastLargestClique),6.447834,3,37639,HTD,4.814732,278,,,,,,PartitionTreedec,11.563511
,,,,,,,add20,7461,2395,,ReadEL,0.032314,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.20945336562895,1.0025929127052722,1.0,Partition(FastLargestClique),0.064719,36,2314,HTD,0.057035,35,,,,,,PartitionTreedec,0.154489
,,,,,,,add32,9461,4960,,ReadEL,0.017147,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.584962500721156,1.0006638636866563,1.0,Partition(FastLargestClique),0.091734,4,4519,HTD,0.304679,3,,,,,,PartitionTreedec,0.414123
,,,,,,,adder_dcop_01,6291,1809,,ReadEL,0.030212,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,18.339850002884624,2.9527508090614885,2.0,Partition(FastLargestClique),0.219113,5,1545,HTD,0.113711,20,,,,,,PartitionTreedec,0.36339
,,,,,,,adder_dcop_02,6381,1809,,ReadEL,0.011016,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,18.339850002884624,2.873401534526854,2.0,Partition(FastLargestClique),0.232674,5,1564,HTD,0.073877,20,,,,,,PartitionTreedec,0.317939
