Contraction.avg_deg,Contraction.error_status,Contraction.in_n,Contraction.largest_clique,Contraction.max_deg,Contraction.out_n,Contraction.time,GraphInput.error_status,GraphInput.girg_options,GraphInput.graph,GraphInput.m,GraphInput.n,GraphInput.n_gen,GraphInput.option,GraphInput.time,GraphStats.avg_deg,GraphStats.clustering,GraphStats.deg_cov,GraphStats.error_status,GraphStats.largest_clique,GraphStats.num_cliques,GraphStats.sum_clique_sizes,GraphStats.time,PartLargestBag.error_status,PartLargestBag.max_partition_num,PartLargestBag.max_weight,PartLargestBag.mean_partition_num,PartLargestBag.median_partition_num,PartLargestBag.num_branching_max,PartLargestBag.num_branching_mean,PartLargestBag.num_branching_median,PartLargestBag.num_branching_sum,PartLargestBag.num_clq_red,PartLargestBag.num_lb2_reductions_max,PartLargestBag.num_lb2_reductions_mean,PartLargestBag.num_lb2_reductions_median,PartLargestBag.num_lb2_reductions_sum,PartLargestBag.num_lb_reductions_max,PartLargestBag.num_lb_reductions_mean,PartLargestBag.num_lb_reductions_median,PartLargestBag.num_lb_reductions_sum,PartLargestBag.num_leaves_max,PartLargestBag.num_leaves_mean,PartLargestBag.num_leaves_median,PartLargestBag.num_leaves_sum,PartLargestBag.num_sw_reductions_max,PartLargestBag.num_sw_reductions_mean,PartLargestBag.num_sw_reductions_median,PartLargestBag.num_sw_reductions_sum,PartLargestBag.partition_option,PartLargestBag.status,PartLargestBag.time,Partition.AssignVertices.error_status,Partition.AssignVertices.option,Partition.AssignVertices.time,Partition.MaximalIS.error_status,Partition.MaximalIS.option,Partition.MaximalIS.size,Partition.MaximalIS.time,Partition.amount,Partition.average,Partition.error_status,Partition.hs_size,Partition.largest,Partition.lower_bound,Partition.median,Partition.num_branching,Partition.num_dead_end,Partition.num_lb2_reductions,Partition.num_lb_reductions,Partition.num_leaves,Partition.num_long_paths,Partition.num_sw_reductions,Partition.option,Partition.product_weight,Partition.smallest,Partition.status,Partition.time,PartitionBags.error_status,PartitionBags.max_partition_num,PartitionBags.max_weight,PartitionBags.mean_partition_num,PartitionBags.median_partition_num,PartitionBags.num_branching_max,PartitionBags.num_branching_mean,PartitionBags.num_branching_median,PartitionBags.num_branching_sum,PartitionBags.num_clq_red,PartitionBags.num_lb2_reductions_max,PartitionBags.num_lb2_reductions_mean,PartitionBags.num_lb2_reductions_median,PartitionBags.num_lb2_reductions_sum,PartitionBags.num_lb_reductions_max,PartitionBags.num_lb_reductions_mean,PartitionBags.num_lb_reductions_median,PartitionBags.num_lb_reductions_sum,PartitionBags.num_leaves_max,PartitionBags.num_leaves_mean,PartitionBags.num_leaves_median,PartitionBags.num_leaves_sum,PartitionBags.num_sw_reductions_max,PartitionBags.num_sw_reductions_mean,PartitionBags.num_sw_reductions_median,PartitionBags.num_sw_reductions_sum,PartitionBags.partition_option,PartitionBags.status,PartitionBags.time,Treewidth.error_status,Treewidth.num_bags,Treewidth.option,Treewidth.status,Treewidth.time,Treewidth.treewidth,WeightedTreewidth.elimination_width,WeightedTreewidth.error_status,WeightedTreewidth.option,WeightedTreewidth.time,WeightedTreewidth.time_elimination_game,WeightedTreewidth.treewidth,error_status,option,time
,,,,,,,none,,08blocks,72,38,,ReadEL,0.000743,3.789473684210525,0.14266304347826086,1.4193065552460582,none,3,36,107,0.004458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.005414
,,,,,,,none,,1138_bus,1457,1138,,ReadEL,0.0153,2.5606326889279423,0.09311348205625607,0.7045177010947911,none,5,1258,2635,0.075963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.091474
,,,,,,,none,,130bit,6057,584,,ReadEL,0.169479,20.743150684931518,0.07056020058887894,1.2433310171811809,none,6,5019,16304,0.119849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.28954
,,,,,,,none,,145bit,11250,1002,,ReadEL,0.015332,22.455089820359277,0.04853862586673986,1.5374571999616258,none,6,9595,30803,0.15747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.173004
,,,,,,,none,,162bit,37068,3606,,ReadEL,0.105615,20.55906821963396,0.014187612867788444,2.4780440655582843,none,5,30271,83466,0.21137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.317215
,,,,,,,none,,176bit,82203,7441,,ReadEL,0.12742,22.094610939389753,0.00772234469276635,3.9032310139240005,none,6,71088,210421,0.691783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.819463
,,,,,,,none,,192bit,154234,13691,,ReadEL,0.220486,22.530713607479406,0.004228984007354772,4.762807839301852,none,6,133847,372601,1.451206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,1.671951
,,,,,,,none,,208bit,299683,24430,,ReadEL,0.421501,24.534015554646025,0.0026788171287444353,7.1567616358475545,none,6,268190,844275,7.737792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,8.15958
,,,,,,,none,,2cubes_sphere,772885,101492,,ReadEL,1.336796,15.230461514208006,0.40611585129379807,0.17423675435948105,none,7,88377,522400,5.408975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,6.746075
,,,,,,,none,,2D_27628_bjtcai,207722,27628,,ReadEL,0.284076,15.037063848269892,0.4561055092396018,0.19599581605916275,none,12,17700,116401,3.932214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,4.216549
,,,,,,,none,,2D_54019_highK,472097,54019,,ReadEL,0.860861,17.478924082267433,0.47190649037603194,0.3960262072612657,none,10,33212,262620,4.062618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,4.923765
,,,,,,,none,,3D_28984_Tetra,288683,28984,,ReadEL,0.397105,19.92016284846822,0.09640384672458292,1.4939492864943376,none,10,28351,177255,3.859202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,4.256562
,,,,,,,none,,3elt,13721,4720,,ReadEL,0.018657,5.813983050847454,0.40221990464839097,0.11568241527060757,none,3,8999,26997,0.076371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.095252
,,,,,,,none,,494_bus,585,494,,ReadEL,0.005685,2.3684210526315788,0.04868624420401855,0.5973991828649226,none,3,543,1107,0.058005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.063931
,,,,,,,none,,598a,741933,110971,,ReadEL,1.409678,13.371655657784393,0.4004764345807074,0.21800418499761634,none,7,515867,2122105,4.261381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,5.671354
,,,,,,,none,,662_bus,905,662,,ReadEL,0.001909,2.734138972809668,0.07695652173913044,0.5437944535942277,none,4,825,1705,0.095631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.097744
,,,,,,,none,,685_bus,1281,685,,ReadEL,0.00231,3.740145985401459,0.21465741543798786,0.47991482103395,none,6,921,2070,0.227184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.229706
,,,,,,,none,,a0nsdsil,155012,80016,,ReadEL,0.218779,3.87452509498101,0.0005974021917765843,12.905172961224112,none,3,125001,270009,1.279086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,1.498162
,,,,,,,none,,a2nnsnsl,151106,80016,,ReadEL,0.250303,3.7768946210757792,0.0006550547040143925,12.641847588136025,none,3,121095,262197,2.358008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,2.608596
,,,,,,,none,,a5esindl,109999,60008,,ReadEL,0.159151,3.6661445140647744,0.0003420316167420447,14.725499605685302,none,3,94994,199991,1.423648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,1.583085
,,,,,,,none,,aa01,72913,8904,,ReadEL,0.107928,16.377583108715132,0.003651264215779226,1.8942482721399378,none,6,70268,146560,0.383876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.492055
,,,,,,,none,,aa03,70760,8627,,ReadEL,0.102174,16.404312043584056,0.0034781135175600223,1.970021032297715,none,5,68189,142540,0.991573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,1.094009
,,,,,,,none,,aa4,52089,7195,,ReadEL,0.081525,14.479221681723459,0.004502074145099206,2.4394181659931933,none,5,49025,105478,0.352314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.446221
,,,,,,,none,,aa5,65916,8308,,ReadEL,0.099638,15.868078960038527,0.004261068826793446,2.002717544176135,none,5,63014,133019,0.287917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.387812
,,,,,,,none,,aa6,51699,7292,,ReadEL,0.097166,14.17964893033463,0.0036848441781456034,2.0829440779435533,none,4,49461,103554,0.463455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.560865
,,,,,,,none,,ABACUS_shell_hd,97535,23412,,ReadEL,0.140446,8.332051939176589,0.46110968289527915,0.15708129284771308,none,8,22481,92326,0.246799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats,0.387496
