n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
463,seed=699 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,328,687,463,328,328,1.4115853658536586,8,1.0,1,16,0.058887,0.002314,0.000747,0.001121,0.054705
274,seed=700 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,185,390,274,185,185,1.481081081081081,7,1,1,10,0.025544,0.001308,0.000441,0.000651,0.023144
486,seed=701 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,341,710,486,341,341,1.4252199413489737,13,1,1,12,0.050276,0.002644,0.000735,0.001117,0.04578
459,seed=702 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,322,674,459,322,322,1.4254658385093169,10,1.0,1,12,0.054292,0.002323,0.000668,0.001068,0.050233
270,seed=703 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,181,378,270,181,181,1.4917127071823204,7,1,1,12,0.027352,0.00124,0.00039,0.000587,0.025135
525,seed=704 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,387,802,525,387,387,1.3565891472868217,11,1,1,12,0.061973,0.002642,0.00078,0.001244,0.057307
348,seed=705 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,250,515,348,250,250,1.392,10,1.0,1,12,0.038112,0.001725,0.000532,0.000788,0.035067
663,seed=706 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,504,1040,663,504,504,1.3154761904761905,14,1.0,1,15,0.114313,0.004108,0.001082,0.00173,0.107393
513,seed=707 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,385,795,513,385,385,1.3324675324675326,8,1,1,11,0.069912,0.002503,0.000728,0.001364,0.065317
516,seed=708 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,380,786,516,380,380,1.3578947368421053,11,1.0,1,11,0.054158,0.002748,0.000884,0.001213,0.049313
398,seed=709 alpha=0.55 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,282,589,398,282,282,1.4113475177304964,7,1.0,1,11,0.043773,0.001861,0.000598,0.0009,0.040414
467,seed=699 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,333,698,467,333,333,1.4024024024024024,8,1,1,16,0.056453,0.002351,0.000685,0.001174,0.052243
264,seed=700 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,180,378,264,180,180,1.4666666666666666,8,1.0,1,13,0.027108,0.00129,0.000464,0.000641,0.024713
490,seed=701 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,346,724,490,346,346,1.416184971098266,13,1.0,1,12,0.060911,0.002657,0.000853,0.001099,0.056302
454,seed=702 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,321,671,454,321,321,1.4143302180685358,10,1,1,12,0.051604,0.002546,0.00084,0.0011,0.047118
288,seed=703 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,192,401,288,192,192,1.5,7,1.0,1,11,0.03115,0.001343,0.000478,0.000613,0.028716
515,seed=704 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,382,791,515,382,382,1.3481675392670156,11,1.0,1,11,0.067925,0.002907,0.000844,0.001282,0.062892
339,seed=705 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,243,499,339,243,243,1.3950617283950617,9,1,1,15,0.032442,0.001752,0.000532,0.000769,0.029389
663,seed=706 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,507,1046,663,507,507,1.3076923076923077,12,1,1,14,0.084596,0.004057,0.001036,0.001717,0.077786
509,seed=707 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,375,778,509,375,375,1.3573333333333333,7,1,1,15,0.063585,0.002647,0.000757,0.001341,0.05884
510,seed=708 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,386,794,510,386,386,1.3212435233160622,11,1.0,1,12,0.068003,0.00295,0.000822,0.001312,0.062919
403,seed=709 alpha=0.55 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,287,599,403,287,287,1.4041811846689896,7,1,1,12,0.048579,0.001932,0.000591,0.000885,0.045171
475,seed=699 alpha=0.55 t=0.2 coords=True,partition:fast_max_clique2 treewidth:htd,341,711,475,341,341,1.3929618768328447,8,1,1,15,0.057143,0.002499,0.0007,0.001169,0.052775
