n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
1892,1969,seed=1979 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,622,1595,1892,622,622,3.0418006430868165,12,2.0,1,27,0.172253,0.012999,0.002179,0.003353,0.153722
1899,1969,seed=1980 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,641,1634,1899,641,641,2.9625585023400935,13,2,1,26,0.169863,0.013425,0.002083,0.003561,0.150794
1957,1969,seed=1981 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,668,1689,1957,668,668,2.929640718562874,14,2.0,1,27,0.227457,0.017131,0.00231,0.008828,0.199188
1961,1969,seed=1982 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,655,1669,1961,655,655,2.9938931297709925,13,2,1,27,0.227604,0.015127,0.002267,0.008805,0.201405
1823,1969,seed=1983 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,607,1549,1823,607,607,3.00329489291598,14,2,1,34,0.189464,0.013967,0.002052,0.008234,0.165211
1942,1969,seed=1984 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,649,1657,1942,649,649,2.9922958397534667,14,2,1,31,0.232537,0.015798,0.002376,0.008709,0.205654
1932,1969,seed=1985 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,650,1666,1932,650,650,2.9723076923076923,13,2.0,1,27,0.262162,0.016254,0.002402,0.008823,0.234683
1946,1969,seed=1986 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,650,1655,1946,650,650,2.993846153846154,14,2.0,1,29,0.238511,0.016121,0.002289,0.008781,0.21132
1937,1969,seed=1987 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,654,1662,1937,654,654,2.96177370030581,13,2.0,1,26,0.173319,0.014355,0.002232,0.008141,0.148591
1947,1969,seed=1988 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,623,1596,1947,623,623,3.125200642054575,13,2,1,34,0.186708,0.014654,0.002192,0.008373,0.161489
1955,1969,seed=1989 alpha=0.95 t=0.0 coords=True,partition:fast_max_clique2 treewidth:htd,639,1634,1955,639,639,3.059467918622848,12,2,1,30,0.273715,0.016419,0.002282,0.008833,0.246181
