n,orig_n,girg_options,spec,blowup:in_n,blowup:out_n,contraction:in_n,contraction:out_n,partition:amount,partition:average,partition:largest,partition:median,partition:smallest,treewidth:treewidth,time_total,time_partition,time_contraction,time_blowup,time_treewidth
281910,287807,seed=287817 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,124283,291434,281910,124283,124283,2.268290916698181,44,2,1,87,213.175031,16.548509,0.521856,1.406626,194.69804
280491,287807,seed=287818 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,123682,290029,280491,123682,123682,2.2678401060784914,35,2.0,1,71,200.566561,15.648392,0.496699,1.386243,183.035227
281091,287807,seed=287819 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,123923,290509,281091,123923,123923,2.2682714266116863,36,2,1,91,200.402144,15.382742,0.50221,1.378687,183.138505
281718,287807,seed=287820 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,124304,291297,281718,124304,124304,2.2663631097953405,45,2.0,1,85,200.850611,15.988265,0.504924,1.325259,183.032163
280811,287807,seed=287821 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,123682,290254,280811,123682,123682,2.2704273863617987,41,2.0,1,86,200.655306,15.730523,0.536037,1.320197,183.068549
281840,287807,seed=287822 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,124586,291847,281840,124586,124586,2.2622124476265393,44,2.0,1,79,202.343835,17.246571,0.507168,1.450164,183.139932
282214,287807,seed=287823 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,124450,291743,282214,124450,124450,2.267689835275211,37,2.0,1,79,206.090007,21.058266,0.541058,1.387357,183.103326
280911,287807,seed=287824 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,123718,290261,280911,123718,123718,2.2705750173782313,35,2.0,1,80,210.539055,15.491245,0.490461,1.393809,193.16354
281435,287807,seed=287825 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,124207,291305,281435,124207,124207,2.265854581464813,39,2,1,67,202.479409,17.559366,0.527668,1.33485,183.057525
281570,287807,seed=287826 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,124293,291585,281570,124293,124293,2.265372949401817,42,2,1,87,201.451549,16.491463,0.511423,1.335925,183.112738
282772,287807,seed=287827 alpha=0.75 t=0.1 coords=True,partition:fast_max_clique2 treewidth:htd,125169,293125,282772,125169,125169,2.2591216675055326,45,2,1,87,204.752245,19.671886,0.545425,1.411191,183.123743
