n,orig_n,girg_options,spec,algo:max_weight,time_total
884,896,seed=988063 alpha=0.95 t=0.1 coords=True,algo:part_treedec,7.339850002884624,0.146265
894,896,seed=988064 alpha=0.95 t=0.1 coords=True,algo:part_treedec,6.643856189774724,0.159691
858,896,seed=988065 alpha=0.95 t=0.1 coords=True,algo:part_treedec,7.169925001442312,0.122431
887,896,seed=988066 alpha=0.95 t=0.1 coords=True,algo:part_treedec,8.0,0.15232
889,896,seed=988067 alpha=0.95 t=0.1 coords=True,algo:part_treedec,7.977279923499916,0.160985
880,896,seed=988068 alpha=0.95 t=0.1 coords=True,algo:part_treedec,8.754887502163468,0.1481
891,896,seed=988069 alpha=0.95 t=0.1 coords=True,algo:part_treedec,6.584962500721156,0.137607
887,896,seed=988070 alpha=0.95 t=0.1 coords=True,algo:part_treedec,6.754887502163468,0.134638
890,896,seed=988071 alpha=0.95 t=0.1 coords=True,algo:part_treedec,6.321928094887362,0.124117
888,896,seed=988072 alpha=0.95 t=0.1 coords=True,algo:part_treedec,6.0,0.15612
