n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
167661,170300,seed=170400 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.39726895598064,167661,32,13191,69424,69424,2.415029384650841,13,2.0,1,276,188.616259,0.33232,5.585845,182.698094
168343,170300,seed=170401 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,10.124125498948453,168343,27,26792,69897,69897,2.40844385309813,12,2,1,242,196.060691,0.348684,5.709866,190.002141
167058,170300,seed=170402 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.750889370932756,167058,29,3319,69150,69150,2.41587852494577,12,2.0,1,245,188.471944,0.346759,5.674945,182.45024
167208,170300,seed=170403 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.110960543197773,167208,30,9855,69367,69367,2.410483371055401,13,2,1,277,188.631142,0.323373,5.679485,182.628284
167587,170300,seed=170404 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.493592143535984,167587,35,6981,69446,69446,2.4131987443481266,13,2.0,1,292,188.808153,0.339051,5.719694,182.749408
167372,170300,seed=170405 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.19481790701022,167372,31,17832,69470,69470,2.409270188570606,11,2.0,1,255,188.75064,0.320261,5.703631,182.726748
167248,170300,seed=170406 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.81286608911965,167248,30,3812,69143,69143,2.418871035390423,13,2,1,248,188.647793,0.337939,5.662303,182.647551
166979,170300,seed=170407 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,8.914227877385771,166979,29,5158,69160,69160,2.4143869288606132,13,2.0,1,267,188.633864,0.31726,5.661519,182.655085
167692,170300,seed=170408 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.73099886345653,167692,33,11554,69509,69509,2.412522119437771,11,2,1,308,188.838481,0.366857,5.662384,182.80924
167348,170300,seed=170409 alpha=0.75 t=0.2 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,9.099356477072693,167348,31,6750,69306,69306,2.4146249963928086,12,2.0,1,259,188.71286,0.374637,5.70789,182.630333
