n,orig_n,girg_options,spec,algo:contraction:avg_deg,algo:contraction:in_n,algo:contraction:largest_clique,algo:contraction:max_deg,algo:contraction:out_n,algo:partition:amount,algo:partition:average,algo:partition:largest,algo:partition:median,algo:partition:smallest,algo:weighted_treewidth:treewidth,time_total,time_contraction,time_partition,time_weighted_treewidth
282384,287807,seed=287907 alpha=0.95 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.2637210988574035,282384,13,1484,85507,85507,3.3024664647338815,15,3,1,51,75.422546,0.477281,11.232268,63.712997
281319,287807,seed=287908 alpha=0.95 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.343402785934087,281319,15,749,85142,85142,3.304115477672594,15,3.0,1,55,73.02767,0.496322,11.08865,61.442698
281814,287807,seed=287909 alpha=0.95 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.352491592785081,281814,14,1332,85046,85046,3.3136655457046773,16,3.0,1,59,76.24922,0.498834,11.14687,64.603516
282569,287807,seed=287910 alpha=0.95 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.423412963679649,282569,14,1585,85269,85269,3.3138538038443044,17,3,1,62,80.342357,0.480848,11.075244,68.786265
282393,287807,seed=287911 alpha=0.95 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.354008794087379,282393,14,2618,85512,85512,3.302378613527926,17,3.0,1,52,81.523835,0.511094,11.252334,69.760407
280736,287807,seed=287912 alpha=0.95 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.243048767562093,280736,17,1466,84913,84913,3.30616042302121,17,3,1,61,74.304175,0.524412,11.20102,62.578743
281630,287807,seed=287913 alpha=0.95 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.3879218138436045,281630,15,2736,85079,85079,3.3102175625007346,16,3,1,53,86.855908,0.52304,11.042527,75.290341
283044,287807,seed=287914 alpha=0.95 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.4274059702190325,283044,15,2351,85558,85558,3.3082119731644033,16,3.0,1,51,81.72671,0.523386,11.238681,69.964643
282952,287807,seed=287915 alpha=0.95 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.30470790820809,282952,14,1794,85367,85367,3.314536061944311,16,3,1,61,66.038659,0.479961,11.19405,54.364648
282325,287807,seed=287916 alpha=0.95 t=0.0 coords=True,algo:pflattened algo.pflattened.partition:max_radius algo.pflattened.weighted_treewidth:htd,6.349397449260426,282325,14,2193,85387,85387,3.3064166676426154,15,3,1,52,81.050133,0.478123,11.480374,69.091636
